NEW YORK CITY DEPARTMENT OF INVESTIGATION,,,,,,,,,,
NEW YORK CITY HOUSING AUTHORITY,,,,,,,,,,
OFFICE OF THE INSPECTOR GENERAL,,,,,,,,,,
,,,,,,,,,,
NYCHA'S SMALL PROCUREMENT 2021,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Procurement Type,Purchase Order Number,Purchase Order Type,Vendor Name,Contract Description,Administering Department,Ship To Location,Borough,PO Total Amount,,
SMALL PURCHASE,2122781,STANDARD,TENNANT COMPANY INC.,Automotive- brush and filter quote 22544819,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$3,722.90",,
SMALL PURCHASE,2102529,STANDARD,I & E TIRE CORP.,Automotive-Invoice # 448365,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,$435.00,,
SMALL PURCHASE,2102530,STANDARD,I & E TIRE CORP.,automotive-Invoice # 448391 & E Tires,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$1,280.00",,
SMALL PURCHASE,2103673,STANDARD,P.M.G. AUTOMOTIVE WAREHOUSE,"Automotive- Defoos Naf Blue, oil , wws see nape zero",General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$2,088.48",,
SMALL PURCHASE,2103674,STANDARD,"CHOICE DISTRIBUTION, INC.",automotive - Green Diamond Nitritle Gloves qoute 1-25-1029458,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$1,199.52",,
SMALL PURCHASE,2103675,STANDARD,"CHOICE DISTRIBUTION, INC.","Automotive - moulding tape,faceseal,fuel drier quote 1-25-1037432",General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$1,897.30",,
SMALL PURCHASE,2103985,STANDARD,TENNANT COMPANY INC.,Automotive- Supplies quote 22358336,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$4,978.37",,
SMALL PURCHASE,2105017,STANDARD,"CHOICE DISTRIBUTION, INC.","Automotive- led light,nut,carbex carb/choke, promax gloss black, quote 737349",General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,$411.47,,
SMALL PURCHASE,2105024,STANDARD,BMS BATTERY INC DBA/INTERSTATE BATTERIES,"automotive - batteries quotes121761,1215177",General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$1,878.25",,
SMALL PURCHASE,2105031,STANDARD,I & E TIRE CORP.,automotive- tires quotes 44865320 & 4485944,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$2,520.00",,
SMALL PURCHASE,2109626,STANDARD,TENNANT COMPANY INC.,"Auotmotive - bush disk, SWP , 104500 Filter qoute 22416499",General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$4,754.54",,
SMALL PURCHASE,2109627,STANDARD,"BOBCAT OF NEW YORK, INC.","automotive - 7197619 Hose HYD 37-D3,7308796 Light RE 10-D quote -TA54778",General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$1,061.85",,
SMALL PURCHASE,2109628,STANDARD,"BOBCAT OF NEW YORK, INC.","automotive ML 7177671, filter quote T54684",General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$1,317.80",,
SMALL PURCHASE,2109629,STANDARD,TENNANT COMPANY INC.,"Automotive- plug spark ,sensor ,hose,wedge,disk brush,filter quote 22416499",General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$4,928.96",,
SMALL PURCHASE,2111186,STANDARD,BMS BATTERY INC DBA/INTERSTATE BATTERIES,"Auto- Batteries SP-35, MT-24, 31P-MHD, PH00210, GC2-EC;-UTL,MT-48/H6 QUOTE548591246",General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$4,050.26",,
SMALL PURCHASE,2111187,STANDARD,I & E TIRE CORP.,Auto- Tires quote 44239 & 449238,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$1,780.00",,
SMALL PURCHASE,2111188,STANDARD,DYNAMIC TOWING EQUIPMENT & MFG,"Automotive- binding chain, Vchain with short hooks, long hooks quote 924",General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$2,390.43",,
SMALL PURCHASE,2112541,STANDARD,I & E TIRE CORP.,Automotive -I & E Tires Invoice # 449351,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$3,360.00",,
SMALL PURCHASE,2112569,STANDARD,BMS BATTERY INC DBA/INTERSTATE BATTERIES,automoitve - Interstate batteries Invoice # 548591433,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,$647.70,,
SMALL PURCHASE,2112578,STANDARD,I & E TIRE CORP.,automotive -I & E Tires Invoice # 449443,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,$534.00,,
SMALL PURCHASE,2112580,STANDARD,"ADVANCED CLEANING SYSTEMS, INC.",Automotive -Wash-N-Shine Super Concentrate Liquid Soap- Estimate 52,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$2,450.25",,
SMALL PURCHASE,2112586,STANDARD,P.M.G. AUTOMOTIVE WAREHOUSE,automoitve - Auto parts,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$3,359.70",,
GOVERMENT LIST,2112593,STANDARD,FASTENAL COMPANY,Textiles- Wiping Rags quote 23 ASH STREET PC67227 quote 93815,General Services,23 ASH STREET,BK_CENTRAL OFFICE,$254.20,,
SMALL PURCHASE,2113850,STANDARD,BMS BATTERY INC DBA/INTERSTATE BATTERIES,Automotive - interstate Batteries quote 1548903,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,$567.80,,
SMALL PURCHASE,2114069,STANDARD,"PITNEY BOWES, INC.",Office Supplies -Pro - P/ Connect (t) Series,General Services,23 ASH STREET,BK_CENTRAL OFFICE,"$1,681.26",,
SMALL PURCHASE,2115012,STANDARD,I & E TIRE CORP.,Automotive - tires #106755 quote 449565,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,$296.00,,
SMALL PURCHASE,2116094,STANDARD,"CHOICE DISTRIBUTION, INC.","Automotive- brake power, wiper blade , krimp ,quote 1-25-894979",General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$4,745.49",,
SMALL PURCHASE,2116102,STANDARD,BROOKLYN SIGNS COM INC,Automotive- Magnetic Signs - quote 14538,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,$120.00,,
SMALL PURCHASE,2116702,STANDARD,I & E TIRE CORP.,Automotive -I & E Tires Invoice # 449790,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,$882.00,,
SMALL PURCHASE,2116703,STANDARD,BMS BATTERY INC DBA/INTERSTATE BATTERIES,"Automotive- MT-65, SP-35, 31P-MHD quote 1549811",General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$1,827.14",,
SMALL PURCHASE,2116704,STANDARD,BROOKLYN SIGNS COM INC,"Automotive- SignsNY Invoice # 14559 Cut vinyl decals according to the Logo/text provided. Size 2""X10""- Quote 14559",General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,$500.00,,
SMALL PURCHASE,2117048,STANDARD,MARK ANDY INC. DBA/MARK ANDY PRINT PRODUCTS,"Duplicating - Athem Elite 15 X18 6 MIL, 9-15/16X12-1/4 8 MIL, 2 washout solution quote Q-5938502",General Services,23 ASH STREET,BK_CENTRAL OFFICE,$623.73,,
SMALL PURCHASE,2117338,STANDARD,BROOKLYN SIGNS COM INC,Automotive- signs,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,$910.00,,
SMALL PURCHASE,2117339,STANDARD,TENNANT COMPANY INC.,"Automotive- pane glass, electric motor, screw set, eccentric weight, quote 504579600",General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$3,121.12",,
SMALL PURCHASE,2117410,STANDARD,"PITNEY BOWES, INC.",Office Supplies- Order #14866545 red ink cartidge,General Services,23 ASH STREET,BK_CENTRAL OFFICE,"$4,804.81",,
SMALL PURCHASE,2117571,STANDARD,BROOKLYN SIGNS COM INC,Automotive- Wast Mgmt. Signs,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,$450.00,,
SMALL PURCHASE,2118908,STANDARD,"BOBCAT OF NEW YORK, INC.",Automotive -Bobcat Customer # 150055 qoute T61455,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$1,990.28",,
SMALL PURCHASE,2120825,STANDARD,I & E TIRE CORP.,Automotive -Invoice # 450370-Contract Tires245/70 R17 Ras Als,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$2,760.00",,
SMALL PURCHASE,2120827,STANDARD,I & E TIRE CORP.,Automotive-Invoice # 450367 225/75 R17 Ras,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$4,536.00",,
SMALL PURCHASE,2120831,STANDARD,I & E TIRE CORP.,Automotive -Invoice # 450368 215/65 R 16 Ras Alp,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$1,020.00",,
SMALL PURCHASE,2122044,STANDARD,P.M.G. AUTOMOTIVE WAREHOUSE,Automotive-auto parts quote 108070,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$2,151.76",,
SMALL PURCHASE,2122045,STANDARD,I & E TIRE CORP.,Automotive -Invoice # 450554,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$1,900.00",,
SMALL PURCHASE,2122046,STANDARD,I & E TIRE CORP.,automotive Invoice # 450558,General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$2,250.00",,
SMALL PURCHASE,2122049,STANDARD,DYNAMIC TOWING EQUIPMENT & MFG,Automotive -Quote # 1027 Item JH2 J Hooks (Pair),General Services,FLEET ADMIN-A031,BK_CENTRAL OFFICE,"$1,725.00",,
